region_bld,ssp,scenario,urt,arch,mat,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-WEU-GBR,SSP2,nsp,rur,sfh,perm,52.40674202,53.11828616,53.78534755,54.40975477,54.99216231,55.53276266,56.03176636,56.48961071,56.90722039,57.28598457,57.62773755,57.93466088,58.20921923,58.4540031,58.67168019,58.86487313,59.03608452,59.18773732
C-WEU-GBR,SSP2,nsp,urb,mfh,perm,28.53199738,28.919386,29.28255671,29.62250506,29.93958736,30.23390842,30.50558285,30.75484876,30.98220955,31.18842154,31.37448338,31.54158279,31.69106161,31.82433021,31.94284095,32.0480217,32.14123496,32.22379986
C-WEU-GBR,SSP2,nsp,urb,sfh,perm,49.84234028,50.51906666,51.15348696,51.74734027,52.30124905,52.81539639,53.2899825,53.72542331,54.12259823,54.48282847,54.80785856,55.09976332,55.36088679,55.59369273,55.8007183,55.98445779,56.14729136,56.29152338
C-WEU-GRC,SSP2,nsp,rur,mfh,perm,25.44552955,26.24179513,27.02118952,27.77583808,28.49875706,29.18414724,29.82759761,30.42612085,30.97816246,31.48344404,31.94278819,32.35792504,32.73121897,33.06548394,33.36380487,33.62935756,33.86532047,34.07473222
C-WEU-GRC,SSP2,nsp,rur,sfh,perm,42.53870579,43.8698672,45.17282411,46.43441205,47.64295588,48.78876073,49.86445248,50.86503704,51.78791568,52.63262297,53.40053412,54.09454146,54.71859766,55.27740699,55.77612667,56.22006585,56.61453815,56.96462341
C-WEU-GRC,SSP2,nsp,urb,mfh,perm,23.15950573,23.88423488,24.59360856,25.28045957,25.93843158,26.56224637,27.14788923,27.6926412,28.19508745,28.65497458,29.0730513,29.4508923,29.79064954,30.09488418,30.36640399,30.60809945,30.82286347,31.01346169
C-WEU-GRC,SSP2,nsp,urb,sfh,perm,40.45717339,41.72319752,42.96239728,44.16225235,45.31165891,46.40139646,47.42445174,48.37607503,49.25379476,50.05716827,50.78750347,51.44755118,52.04107065,52.57253595,53.04685194,53.469068,53.84423772,54.17719237
C-WEU-IRL,SSP2,nsp,rur,mfh,perm,32.84338677,33.0821052,33.29884171,33.49549611,33.67401964,33.83632114,33.98419484,34.11925522,34.2429745,34.35663456,34.46135403,34.55812755,34.64779046,34.73107582,34.8086332,34.88101599,34.94869071,35.01209982
C-WEU-IRL,SSP2,nsp,rur,sfh,perm,54.90611481,55.30519368,55.66752414,55.99628222,56.29472993,56.56605837,56.81326704,57.039055,57.24588339,57.43589522,57.61096058,57.77274225,57.92263673,58.06186949,58.19152648,58.31253281,58.42566839,58.53167293
C-WEU-IRL,SSP2,nsp,urb,mfh,perm,29.8927402,30.11001219,30.30727711,30.48626409,30.64874909,30.79646944,30.93105818,31.05398475,31.16658911,31.27003795,31.36534944,31.45342883,31.53503644,31.61083945,31.68142908,31.74730901,31.80890384,31.86661628
C-WEU-IRL,SSP2,nsp,urb,sfh,perm,52.21941208,52.59896296,52.94356363,53.25623469,53.54007856,53.79813018,54.03324227,54.24798182,54.44468955,54.62540359,54.79190253,54.94576779,55.08832754,55.22074727,55.34405979,55.45914496,55.56674452,55.66756197
C-WEU-ISL,SSP2,nsp,rur,mfh,perm,28.81049035,29.49861736,30.14080375,30.7502636,31.32763533,31.87061746,32.37654952,32.84345325,33.27026733,33.65696777,34.00444996,34.31433757,34.58884285,34.83053466,35.04220472,35.22670565,35.38687534,35.52542748
C-WEU-ISL,SSP2,nsp,rur,sfh,perm,48.16409775,49.31447791,50.38805658,51.40692447,52.3721489,53.27988229,54.12567702,54.90622593,55.61975476,56.26622337,56.84712866,57.365185,57.82409074,58.22814037,58.58200096,58.89044142,59.15820599,59.3898313
