Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Final Energy|Residential|Heating|Water,EJ/yr,1.91369,1.94025,1.95336,1.9653,1.97982,1.99471,2.0108
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Final Energy|Residential|Liquids,EJ/yr,1.44215,1.27222,1.0671,0.88956,0.7367,0.60724,0.49767
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Final Energy|Residential|Solids|Biomass,EJ/yr,0.36394,0.33006,0.29001,0.25266,0.20712,0.16783,0.1352
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Final Energy|Residential|Cooling,EJ/yr,0.066,0.06584,0.06485,0.06367,0.06243,0.06118,0.05984
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Final Energy|Residential|Electricity,EJ/yr,0.23221,0.26059,0.29277000000000003,0.31874,0.34043999999999996,0.35755000000000003,0.3724
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Final Energy|Residential|Gases,EJ/yr,0.45750999999999997,0.44343,0.41594,0.38934,0.36571,0.34514,0.32451
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Final Energy|Residential|Heat,EJ/yr,0.06597,0.06947,0.0724,0.07471,0.07657,0.07813,0.07935
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Final Energy|Residential|Heating|Space,EJ/yr,0.59412,0.55345,0.50055,0.45234,0.40821,0.36901,0.3332
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Final Energy|Residential|Heating|Water,EJ/yr,0.69964,0.71874,0.72739,0.72892,0.72605,0.72197,0.71517
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Final Energy|Residential|Liquids,EJ/yr,0.51934,0.48359,0.43536,0.39069,0.34745,0.30948,0.27446
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Final Energy|Residential|Solids|Biomass,EJ/yr,0.03947,0.03774,0.0358,0.03373,0.03163,0.02956,0.02753
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAO,Final Energy|Residential|Solids|Fossil,EJ/yr,0.04526,0.04322,0.04052,0.03773,0.03489,0.0323,0.02997
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Final Energy|Residential|Cooling,EJ/yr,0.06367,0.11218,0.16548,0.22199,0.28234,0.34428,0.39739
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Final Energy|Residential|Electricity,EJ/yr,0.12718000000000002,0.20102,0.2661,0.33338,0.40415,0.47448999999999997,0.5349700000000001
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Final Energy|Residential|Heating|Space,EJ/yr,0.45106,0.45166,0.4344,0.41406,0.39142,0.37019,0.34981
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Final Energy|Residential|Heating|Water,EJ/yr,0.18336,0.20262,0.22119,0.23791,0.25352,0.26886,0.28243
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_PAS,Final Energy|Residential|Solids|Biomass,EJ/yr,0.57091,0.56544,0.55498,0.54058,0.52313,0.50885,0.49466
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Final Energy|Residential|Cooling,EJ/yr,0.01073,0.01759,0.02505,0.03328,0.04322,0.05638,0.06972
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Final Energy|Residential|Electricity,EJ/yr,0.0387,0.04801,0.05696,0.06595999999999999,0.07627,0.08932,0.10193
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Final Energy|Residential|Gases,EJ/yr,0.0013,0.00454,0.00786,0.00998,0.01127,0.01214,0.01325
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Final Energy|Residential|Heat,EJ/yr,0.00552,0.0076,0.00985,0.01217,0.01447,0.01666,0.01864
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Final Energy|Residential|Heating|Space,EJ/yr,0.04709,0.05348,0.05846,0.06228,0.06476,0.06615,0.06647
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Final Energy|Residential|Heating|Water,EJ/yr,0.07378,0.08405,0.09083,0.09446,0.09624,0.09697,0.09624
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Final Energy|Residential|Liquids,EJ/yr,0.00544,0.00943,0.01237,0.0151,0.0167,0.017,0.01615
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Final Energy|Residential|Solids|Biomass,EJ/yr,0.0391,0.04157,0.04249,0.04225,0.04154,0.04106,0.04003
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_RCPA,Final Energy|Residential|Solids|Fossil,EJ/yr,0.04155,0.04396,0.04481,0.04456,0.04397,0.04332,0.04243
