country,clim,urt,value
IND,Zone_1A Very hot Humid,rur,0.400728720769822
IND,Zone_1B Very hot Dry,urb,0.159047870123956
IND,Zone_1B Very hot Dry,rur,0.178459164678494
IND,Zone_2A Hot Humid,urb,0.0351433692820536
IND,Zone_2A Hot Humid,rur,0.0475406933948036
IND,Zone_2B Hot Dry,urb,0.00473887253577818
IND,Zone_2B Hot Dry,rur,0.00256557934970417
IND,Zone_3A Warm Humid,urb,0.00291872581793359
IND,Zone_3A Warm Humid,rur,0.00725783548127852
IND,Zone_3C Warm Marine,urb,8.34504990174701e-4
IND,Zone_3C Warm Marine,rur,0.00357588132006402
IND,Zone_4C Mixed Marine,urb,4.62697654069811e-4
IND,Zone_4C Mixed Marine,rur,0.00743207911251673
IND,Zone_5C Cool Marine,urb,0.00236765359431265
IND,Zone_5C Cool Marine,rur,0.00167721842727312
IRL,Zone_5A Cool Humid,urb,1
IRL,Zone_5A Cool Humid,rur,1
IRN,Zone_1B Very hot Dry,urb,0.0713483937372449
IRN,Zone_1B Very hot Dry,rur,0.10614256266142
IRN,Zone_2A Hot Humid,urb,0.0747702860835471
IRN,Zone_2A Hot Humid,rur,0.0275456205318403
IRN,Zone_2B Hot Dry,urb,0.0559465204646672
IRN,Zone_2B Hot Dry,rur,0.197560975052049
IRN,Zone_3A Warm Humid,urb,0.0633118383025564
IRN,Zone_3A Warm Humid,rur,0.0411313183050347
IRN,Zone_3B Warm Dry,urb,0.0816093776074153
IRN,Zone_3B Warm Dry,rur,0.172333875638676
IRN,Zone_4A Mixed Humid,urb,0.373906470221816
IRN,Zone_4A Mixed Humid,rur,0.113170382582509
IRN,Zone_4B Mixed Dry,urb,0.157703347131695
IRN,Zone_4B Mixed Dry,rur,0.163003266408357
IRN,Zone_5A Cool Humid,urb,0.0851670284444754
IRN,Zone_5A Cool Humid,rur,0.129318032929329
IRN,Zone_5B Cool Dry,urb,0.0362367380065834
IRN,Zone_5B Cool Dry,rur,0.0497939658907851
IRQ,Zone_1B Very hot Dry,urb,0.558640032274725
IRQ,Zone_1B Very hot Dry,rur,0.410540146376755
IRQ,Zone_2B Hot Dry,urb,0.441359967725275
IRQ,Zone_2B Hot Dry,rur,0.589459853623245
ISL,Zone_7A Very cold Humid,urb,1
ISL,Zone_7A Very cold Humid,rur,1
ISR,Zone_3A Warm Humid,urb,1
ISR,Zone_3A Warm Humid,rur,1
ITA,Zone_3A Warm Humid,urb,0.487702124137456
ITA,Zone_3A Warm Humid,rur,0.434394058044936
ITA,Zone_4A Mixed Humid,urb,0.434572453749278
ITA,Zone_4A Mixed Humid,rur,0.434407912876519
ITA,Zone_4C Mixed Marine,urb,0.0476756399381235
ITA,Zone_4C Mixed Marine,rur,0.0564944493185185
ITA,Zone_5A Cool Humid,urb,0.0300497821751426
ITA,Zone_5A Cool Humid,rur,0.074703579760026
JAM,Zone_1A Very hot Humid,urb,1
JAM,Zone_1A Very hot Humid,rur,1
JOR,Zone_3A Warm Humid,urb,0.502810829575524
JOR,Zone_3A Warm Humid,rur,0.337472227902821
JOR,Zone_3B Warm Dry,urb,0.497189170424476
JOR,Zone_3B Warm Dry,rur,0.662527772097179
JPN,Zone_3A Warm Humid,urb,0.66847808070525
JPN,Zone_3A Warm Humid,rur,0.323978252533645
