region_bld,region_gea,urt,clim,mat,arch,inc_cl,year,yr_con,bld_age,value
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1965,p2,5118284.051577972
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1970,p2,2176295.8015265213
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1975,p2,2414227.715045029
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1980,p2,2333044.832251888
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1985,p2,455953.10143280216
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1990,p2,346612.9087815941
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1995,p3,17961.222561082734
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2005,p3,1248276.086769647
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2010,p3,1421418.879782419
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2015,p3,1263504.4558362025
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2020,p3,1263504.4558362025
C-EEU-LTU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1945,p1,8693695.03090579
C-EEU-LTU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1960,p2,1106187.6192089096
C-EEU-LTU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1965,p2,14756.895771764528
C-EEU-LTU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,1995,p3,145948.65541451465
C-EEU-LTU,EEU,rur,Zone_6A Cold Humid,perm,comm,ns,2020,2005,p3,98731.65273836613
C-EEU-LTU,EEU,urb,Zone_6A Cold Humid,perm,comm,ns,2020,1945,p1,6010641.443990692
