region_bld,year,urt,value
C-WEU-DEU,2085,rur,0.09123999999999999
C-WEU-DEU,2085,urb,0.9087600000000001
C-WEU-DEU,2090,rur,0.08548
C-WEU-DEU,2090,urb,0.91452
C-WEU-DEU,2095,rur,0.08013000000000003
C-WEU-DEU,2095,urb,0.91987
C-WEU-DEU,2100,rur,0.07515000000000005
C-WEU-DEU,2100,urb,0.9248500000000001
C-WEU-DNK,2020,rur,0.1190000000000001
C-WEU-DNK,2020,urb,0.881
C-WEU-DNK,2025,rur,0.11100999999999994
C-WEU-DNK,2025,urb,0.8889900000000001
C-WEU-DNK,2030,rur,0.10329999999999995
C-WEU-DNK,2030,urb,0.8967
C-WEU-DNK,2035,rur,0.09589000000000003
C-WEU-DNK,2035,urb,0.90411
C-WEU-DNK,2040,rur,0.08881000000000006
C-WEU-DNK,2040,urb,0.9111899999999998
C-WEU-DNK,2045,rur,0.08206999999999998
C-WEU-DNK,2045,urb,0.9179299999999999
C-WEU-DNK,2050,rur,0.07567999999999997
C-WEU-DNK,2050,urb,0.9243200000000001
C-WEU-DNK,2055,rur,0.06964000000000004
C-WEU-DNK,2055,urb,0.93036
C-WEU-DNK,2060,rur,0.06396000000000002
C-WEU-DNK,2060,urb,0.93604
C-WEU-DNK,2065,rur,0.05862999999999996
C-WEU-DNK,2065,urb,0.94137
C-WEU-DNK,2070,rur,0.053649999999999975
C-WEU-DNK,2070,urb,0.9463500000000001
C-WEU-DNK,2075,rur,0.04901
C-WEU-DNK,2075,urb,0.9509899999999999
C-WEU-DNK,2080,rur,0.04471000000000003
C-WEU-DNK,2080,urb,0.9552900000000001
C-WEU-DNK,2085,rur,0.04071999999999998
C-WEU-DNK,2085,urb,0.95928
C-WEU-DNK,2090,rur,0.03703999999999996
C-WEU-DNK,2090,urb,0.96296
C-WEU-DNK,2095,rur,0.03364999999999996
C-WEU-DNK,2095,urb,0.9663500000000002
C-WEU-DNK,2100,rur,0.030529999999999946
C-WEU-DNK,2100,urb,0.96947
C-WEU-ESP,2020,rur,0.19200000000000006
C-WEU-ESP,2020,urb,0.808
C-WEU-ESP,2025,rur,0.18239000000000005
C-WEU-ESP,2025,urb,0.81761
C-WEU-ESP,2030,rur,0.17260999999999993
