region_gea,fuel,year,value
WEU,district_heat,2050,0.37932743
WEU,district_heat,2055,0.308909414
WEU,district_heat,2060,2.22142429
WEU,district_heat,2070,0.173824656
WEU,district_heat,2080,0.096883591
WEU,district_heat,2090,0.059516863
WEU,district_heat,2100,0.034589629
WEU,electricity,2015,84.37679301
WEU,electricity,2020,65.95957997
WEU,electricity,2025,50.22198116
WEU,electricity,2030,23.95530898
WEU,electricity,2035,18.24334802
WEU,electricity,2040,9.421600686
WEU,electricity,2045,6.793127529
WEU,electricity,2050,0
WEU,electricity,2055,0
WEU,electricity,2060,0
WEU,electricity,2070,0
WEU,electricity,2080,0
WEU,electricity,2090,0
WEU,electricity,2100,0
WEU,gas,2015,56.1
WEU,gas,2020,56.1
WEU,gas,2025,56.1
WEU,gas,2030,56.1
WEU,gas,2035,56.1
WEU,gas,2040,56.1
WEU,gas,2045,56.1
WEU,gas,2050,56.1
WEU,gas,2055,56.1
