"","type","MESSAGE_R12","year","scenario","emission_factor","unit"
"255","primary_brick","EEU",2100,"image_ssp2_rcp19",0.218940619582365,"kgco2e/kg"
"256","primary_brick","FSU",2020,"image_ssp2_base",0.255354211059323,"kgco2e/kg"
"257","primary_brick","FSU",2030,"image_ssp2_base",0.253436368881112,"kgco2e/kg"
"258","primary_brick","FSU",2030,"image_ssp2_rcp19",0.233040632161683,"kgco2e/kg"
"259","primary_brick","FSU",2040,"image_ssp2_base",0.252067883933655,"kgco2e/kg"
"260","primary_brick","FSU",2040,"image_ssp2_rcp19",0.224760200955597,"kgco2e/kg"
"261","primary_brick","FSU",2050,"image_ssp2_base",0.249216103092977,"kgco2e/kg"
"262","primary_brick","FSU",2050,"image_ssp2_rcp19",0.221729875025139,"kgco2e/kg"
"263","primary_brick","FSU",2060,"image_ssp2_base",0.242895938067345,"kgco2e/kg"
"264","primary_brick","FSU",2060,"image_ssp2_rcp19",0.220215127633579,"kgco2e/kg"
"265","primary_brick","FSU",2070,"image_ssp2_base",0.239871420112532,"kgco2e/kg"
"266","primary_brick","FSU",2070,"image_ssp2_rcp19",0.219133406060057,"kgco2e/kg"
"267","primary_brick","FSU",2080,"image_ssp2_base",0.23864220810427,"kgco2e/kg"
"268","primary_brick","FSU",2080,"image_ssp2_rcp19",0.218868300578341,"kgco2e/kg"
"269","primary_brick","FSU",2090,"image_ssp2_base",0.236807361914845,"kgco2e/kg"
"270","primary_brick","FSU",2090,"image_ssp2_rcp19",0.218697755878831,"kgco2e/kg"
"271","primary_brick","FSU",2100,"image_ssp2_base",0.234254489674243,"kgco2e/kg"
"272","primary_brick","FSU",2100,"image_ssp2_rcp19",0.218940619582365,"kgco2e/kg"
"273","primary_brick","LAM",2020,"image_ssp2_base",0.255354211059323,"kgco2e/kg"
"274","primary_brick","LAM",2030,"image_ssp2_base",0.253436368881112,"kgco2e/kg"
"275","primary_brick","LAM",2030,"image_ssp2_rcp19",0.233040632161683,"kgco2e/kg"
"276","primary_brick","LAM",2040,"image_ssp2_base",0.252067883933655,"kgco2e/kg"
"277","primary_brick","LAM",2040,"image_ssp2_rcp19",0.224760200955597,"kgco2e/kg"
"278","primary_brick","LAM",2050,"image_ssp2_base",0.249216103092977,"kgco2e/kg"
"279","primary_brick","LAM",2050,"image_ssp2_rcp19",0.221729875025139,"kgco2e/kg"
"280","primary_brick","LAM",2060,"image_ssp2_base",0.242895938067345,"kgco2e/kg"
"281","primary_brick","LAM",2060,"image_ssp2_rcp19",0.220215127633579,"kgco2e/kg"
"282","primary_brick","LAM",2070,"image_ssp2_base",0.239871420112532,"kgco2e/kg"
"283","primary_brick","LAM",2070,"image_ssp2_rcp19",0.219133406060057,"kgco2e/kg"
"284","primary_brick","LAM",2080,"image_ssp2_base",0.23864220810427,"kgco2e/kg"
"285","primary_brick","LAM",2080,"image_ssp2_rcp19",0.218868300578341,"kgco2e/kg"
"286","primary_brick","LAM",2090,"image_ssp2_base",0.236807361914845,"kgco2e/kg"
"287","primary_brick","LAM",2090,"image_ssp2_rcp19",0.218697755878831,"kgco2e/kg"
"288","primary_brick","LAM",2100,"image_ssp2_base",0.234254489674243,"kgco2e/kg"
